,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,bounce_ratio,avg_visit_time,avg_visit_pages,trans_count,trans_ratio,visitor,date
79,61,0.43,6,3,0,0,3,16.67,2234,10.17,--,--,old,2020/03/24
80,61,0.43,5,3,0,0,3,20,794,12.2,--,--,old,2019/05/04
81,60,0.42,2,1,0,0,1,0,3152,30.0,--,--,old,2019/12/22
82,60,0.42,7,1,0,0,1,28.57,1652,8.57,--,--,old,2020/03/25
83,60,0.42,6,3,0,0,4,16.67,1056,10.0,--,--,old,2019/12/04
84,59,0.41,6,3,0,0,3,0,1494,9.83,--,--,old,2019/10/12
85,59,0.41,7,4,0,0,4,14.29,707,8.43,--,--,old,2019/10/08
86,58,0.41,2,2,0,0,2,50,3599,29.0,--,--,old,2019/11/07
87,58,0.41,6,3,0,0,3,33.33,885,9.67,--,--,old,2019/10/30
88,58,0.41,2,1,0,0,1,0,1488,29.0,--,--,old,2019/03/27
89,58,0.41,6,4,0,0,4,16.67,808,9.67,--,--,old,2019/08/28
90,58,0.41,5,3,0,0,3,0,1598,11.6,--,--,old,2019/04/08
91,57,0.4,5,3,0,0,4,0,1774,11.4,--,--,old,2019/12/13
92,57,0.4,4,3,0,0,3,25,1818,14.25,--,--,old,2019/07/19
93,56,0.39,6,3,0,0,3,16.67,1304,9.33,--,--,old,2019/11/11
94,56,0.39,3,1,0,0,1,0,6219,18.67,--,--,old,2020/03/17
95,55,0.39,2,2,0,0,2,0,2306,27.5,--,--,old,2019/05/17
96,54,0.38,4,2,0,0,1,0,2274,13.5,--,--,old,2019/05/22
97,54,0.38,6,4,0,0,5,0,950,9.0,--,--,old,2019/09/27
98,53,0.37,5,5,0,0,5,0,741,10.6,--,--,old,2019/08/15
99,52,0.37,9,6,0,0,7,44.44,1067,5.78,--,--,old,2019/03/12
100,52,0.37,4,3,0,0,3,25,1998,13.0,--,--,old,2019/11/25
101,52,0.37,6,4,0,0,4,50,1182,8.67,--,--,old,2019/07/31
102,52,0.37,11,4,0,0,2,36.36,553,4.73,--,--,old,2020/02/25
103,51,0.36,4,3,0,0,3,0,1342,12.75,--,--,old,2019/07/17
104,51,0.36,4,2,0,0,2,0,2894,12.75,--,--,old,2019/10/31
105,51,0.36,13,5,0,0,5,30.77,588,3.92,--,--,old,2019/03/11
106,50,0.35,2,2,0,0,2,50,5106,25.0,--,--,old,2019/04/25
107,50,0.35,7,4,0,0,4,42.86,465,7.14,--,--,old,2019/12/24
108,49,0.34,5,3,0,0,3,20,1824,9.8,--,--,old,2019/09/05
109,49,0.34,4,2,0,0,2,0,2340,12.25,--,--,old,2020/03/21
110,48,0.34,7,4,0,0,4,28.57,1035,6.86,--,--,old,2019/09/07
111,47,0.33,2,2,0,0,2,0,3365,23.5,--,--,old,2020/02/24
112,47,0.33,6,3,0,0,3,0,1341,7.83,--,--,old,2020/01/02
113,47,0.33,7,4,0,0,4,14.29,317,6.71,--,--,old,2019/10/28
114,47,0.33,12,5,0,0,5,33.33,832,3.92,--,--,old,2019/11/28
115,46,0.32,2,1,0,0,1,0,3426,23.0,--,--,old,2019/12/21
116,46,0.32,9,4,0,0,3,11.11,1492,5.11,--,--,old,2019/05/26
117,46,0.32,6,4,0,0,4,16.67,1021,7.67,--,--,old,2020/03/30
118,45,0.32,3,2,0,0,2,0,4566,15.0,--,--,old,2019/04/04
119,45,0.32,5,2,0,0,2,0,1552,9.0,--,--,old,2020/03/12
120,45,0.32,5,4,0,0,5,20,1445,9.0,--,--,old,2019/09/09
121,45,0.32,3,2,0,0,2,0,1734,15.0,--,--,old,2020/03/22
122,43,0.3,5,3,0,0,3,0,512,8.6,--,--,old,2019/08/24
123,43,0.3,9,5,0,0,4,44.44,617,4.78,--,--,old,2020/03/26
124,43,0.3,2,1,0,0,1,0,3118,21.5,--,--,old,2019/04/22
125,43,0.3,6,3,0,0,2,16.67,1786,7.17,--,--,old,2019/05/23
126,42,0.3,5,5,0,0,5,40,640,8.4,--,--,old,2019/07/25
127,42,0.3,8,5,0,0,5,12.5,886,5.25,--,--,old,2019/08/26
128,41,0.29,7,2,0,0,2,0,883,5.86,--,--,old,2019/11/05
129,41,0.29,6,6,0,0,6,16.67,749,6.83,--,--,old,2020/01/08
130,40,0.28,4,3,0,0,2,0,2633,10.0,--,--,old,2019/05/28
131,40,0.28,7,3,0,0,3,14.29,996,5.71,--,--,old,2019/06/05
132,39,0.27,5,3,0,0,3,20,535,7.8,--,--,old,2020/01/22
133,39,0.27,6,3,0,0,3,33.33,724,6.5,--,--,old,2019/08/30
134,39,0.27,4,1,0,0,1,0,981,9.75,--,--,old,2019/07/07
135,39,0.27,1,1,0,0,1,0,6867,39.0,--,--,old,2019/09/08
136,39,0.27,7,3,0,0,3,28.57,413,5.57,--,--,old,2019/08/01
137,39,0.27,7,4,0,0,4,28.57,1144,5.57,--,--,old,2019/06/04
138,39,0.27,5,1,0,0,1,20,2254,7.8,--,--,old,2020/03/19
139,38,0.27,3,3,0,0,3,66.67,1315,12.67,--,--,old,2019/12/16
140,38,0.27,6,2,0,0,2,16.67,1298,6.33,--,--,old,2019/08/05
141,37,0.26,1,1,0,0,1,0,5212,37.0,--,--,old,2019/04/19
142,37,0.26,4,2,0,0,2,25,317,9.25,--,--,old,2019/11/21
143,37,0.26,7,5,0,0,5,28.57,956,5.29,--,--,old,2019/06/15
144,36,0.25,2,2,0,0,2,0,2110,18.0,--,--,old,2019/03/26
145,36,0.25,5,2,0,0,2,40,786,7.2,--,--,old,2019/07/14
146,35,0.25,6,3,0,0,3,50,746,5.83,--,--,old,2019/12/10
147,35,0.25,5,2,0,0,2,20,1542,7.0,--,--,old,2019/12/14
148,34,0.24,3,2,0,0,2,0,3134,11.33,--,--,old,2019/08/22
149,34,0.24,3,2,0,0,2,33.33,2640,11.33,--,--,old,2019/04/17
150,34,0.24,4,2,0,0,2,25,1300,8.5,--,--,old,2019/06/18
151,34,0.24,5,3,0,0,3,40,856,6.8,--,--,old,2019/06/06
152,34,0.24,2,2,0,0,2,0,2244,17.0,--,--,old,2019/11/19
153,34,0.24,2,2,0,0,2,0,4401,17.0,--,--,old,2019/07/08
154,34,0.24,6,4,0,0,4,16.67,736,5.67,--,--,old,2019/11/13
155,33,0.23,7,4,0,0,4,0,276,4.71,--,--,old,2019/11/22
156,33,0.23,1,1,0,0,1,0,6861,33.0,--,--,old,2019/08/03
157,33,0.23,4,3,0,0,3,0,1787,8.25,--,--,old,2019/12/02
158,32,0.23,6,4,0,0,5,16.67,874,5.33,--,--,old,2019/11/26
159,32,0.23,3,2,0,0,3,0,2012,10.67,--,--,old,2019/10/22
160,32,0.23,7,2,0,0,2,0,1158,4.57,--,--,old,2019/03/15
161,31,0.22,2,2,0,0,1,0,2780,15.5,--,--,old,2019/05/20
162,31,0.22,5,4,0,0,4,40,876,6.2,--,--,old,2019/08/06
163,30,0.21,2,2,0,0,2,50,2441,15.0,--,--,old,2019/04/20
164,30,0.21,5,3,0,0,3,40,500,6.0,--,--,old,2019/08/08
165,29,0.2,5,3,0,0,3,20,628,5.8,--,--,old,2020/04/03
166,29,0.2,3,2,0,0,2,0,727,9.67,--,--,old,2020/01/17
167,28,0.2,3,2,0,0,2,33.33,742,9.33,--,--,old,2020/02/05
168,28,0.2,4,1,0,0,1,0,821,7.0,--,--,old,2019/07/09
169,28,0.2,7,4,0,0,3,28.57,378,4.0,--,--,old,2019/09/10
170,28,0.2,2,2,0,0,2,0,1065,14.0,--,--,old,2019/04/16
171,28,0.2,7,3,0,0,3,28.57,638,4.0,--,--,old,2019/07/24
172,28,0.2,7,3,0,0,3,57.14,1008,4.0,--,--,old,2019/12/20
173,28,0.2,6,2,0,0,2,50,588,4.67,--,--,old,2019/10/11
174,27,0.19,4,4,0,0,4,0,1736,6.75,--,--,old,2019/12/30
175,27,0.19,4,2,0,0,2,50,2099,6.75,--,--,old,2020/01/05
176,27,0.19,3,2,0,0,2,0,525,9.0,--,--,old,2020/03/09
177,27,0.19,1,1,0,0,1,0,5134,27.0,--,--,old,2020/02/11
178,26,0.18,2,2,0,0,2,0,1482,13.0,--,--,old,2019/11/14
179,26,0.18,4,1,0,0,1,25,1065,6.5,--,--,old,2020/02/23
180,26,0.18,3,3,0,0,3,0,1251,8.67,--,--,old,2019/09/11
181,26,0.18,4,3,0,0,3,25,526,6.5,--,--,old,2020/01/21
182,26,0.18,4,2,0,0,2,50,1295,6.5,--,--,old,2019/06/10
183,26,0.18,2,2,0,0,2,0,1372,13.0,--,--,old,2019/10/23
184,26,0.18,2,2,0,0,2,0,1493,13.0,--,--,old,2019/06/16
185,26,0.18,2,2,0,0,2,0,206,13.0,--,--,old,2019/06/20
186,26,0.18,3,3,0,0,3,33.33,1382,8.67,--,--,old,2019/10/10
