,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,avg_visit_time,avg_visit_pages,date,anno_number,disease_number,genedesc_number
407,12,0.08,2,2,0,0,2,941,6.0,2019-06-11,1367,228,729
408,12,0.08,1,1,0,0,1,1234,12.0,2019-07-11,1387,228,738
409,12,0.08,1,1,0,0,1,1373,12.0,2019-07-15,1389,228,738
410,12,0.08,2,2,0,0,2,265,6.0,2020-04-02,1499,228,754
411,12,0.08,1,1,0,0,1,1577,12.0,2020-02-03,1489,228,754
412,12,0.08,2,2,0,0,2,1254,6.0,2020-02-10,1492,228,754
413,12,0.08,2,2,0,0,2,320,6.0,2019-06-09,1364,228,729
414,12,0.08,1,1,0,0,1,3864,12.0,2019-05-21,1358,228,720
415,11,0.08,4,1,0,0,1,840,2.75,2020-03-15,1499,228,754
416,11,0.08,2,2,0,0,2,577,5.5,2020-03-28,1499,228,754
417,11,0.08,2,2,0,0,2,1081,5.5,2020-03-06,1493,228,754
418,10,0.07,2,1,0,0,1,186,5.0,2019-07-04,1386,228,736
419,10,0.07,2,2,0,0,2,51,5.0,2019-07-18,1389,228,739
420,10,0.07,4,2,0,0,2,582,2.5,2019-11-24,1486,228,754
421,10,0.07,1,1,0,0,1,783,10.0,2019-06-26,1385,228,735
422,10,0.07,1,1,0,0,1,2198,10.0,2019-10-09,1485,228,753
423,10,0.07,3,2,0,0,2,255,3.33,2019-10-29,1485,228,754
424,10,0.07,3,3,0,0,3,496,3.33,2019-06-19,1385,228,730
425,10,0.07,2,2,0,0,2,655,5.0,2019-11-18,1486,228,754
426,10,0.07,1,1,0,0,1,1268,10.0,2019-11-15,1486,228,754
427,9,0.06,2,2,0,0,2,52,4.5,2019-06-29,1385,228,736
428,9,0.06,1,1,0,0,1,789,9.0,2019-06-21,1385,228,730
429,9,0.06,1,1,0,0,1,177,9.0,2019-11-16,1486,228,754
430,9,0.06,2,2,0,0,2,147,4.5,2020-02-04,1489,228,754
431,9,0.06,4,2,0,0,3,36,2.25,2019-03-29,1295,228,705
432,9,0.06,3,2,0,0,2,144,3.0,2019-06-28,1385,228,736
433,9,0.06,2,2,0,0,2,860,4.5,2019-04-05,1305,228,707
434,9,0.06,2,2,0,0,2,216,4.5,2020-03-11,1493,228,754
435,9,0.06,4,2,0,0,1,50,2.25,2019-04-23,1343,228,715
436,9,0.06,2,2,0,0,2,56,4.5,2019-11-10,1486,228,754
437,8,0.06,2,2,0,0,2,818,4.0,2019-06-06,1362,228,729
438,8,0.06,1,1,0,0,1,3122,8.0,2020-04-02,1499,228,754
439,8,0.06,1,1,0,0,1,2129,8.0,2020-01-23,1489,228,754
440,8,0.06,1,1,0,0,1,465,8.0,2019-06-26,1385,228,735
441,8,0.06,1,1,0,0,1,1269,8.0,2020-02-01,1489,228,754
442,8,0.06,4,2,0,0,2,85,2.0,2019-03-09,1283,228,703
443,7,0.05,3,3,0,0,3,52,2.33,2019-03-07,1283,228,685
444,7,0.05,3,3,0,0,3,78,2.33,2019-08-10,1464,228,743
445,7,0.05,3,2,0,0,2,128,2.33,2019-03-06,1283,228,685
446,7,0.05,1,1,0,0,1,218,7.0,2019-09-01,1471,228,751
447,7,0.05,1,1,0,0,1,435,7.0,2020-02-19,1492,228,754
448,7,0.05,3,2,0,0,2,88,2.33,2019-05-14,1358,228,719
449,7,0.05,3,3,0,0,3,31,2.33,2019-07-29,1390,228,739
450,7,0.05,4,1,0,0,1,590,1.75,2019-03-30,1295,228,705
451,7,0.05,2,2,0,0,2,629,3.5,2019-12-15,1486,228,754
452,7,0.05,1,1,0,0,1,312,7.0,2019-05-27,1358,228,722
453,7,0.05,3,2,0,0,2,101,2.33,2019-08-18,1466,228,745
454,7,0.05,1,1,0,0,1,74,7.0,2019-11-23,1486,228,754
455,6,0.04,1,1,0,0,1,355,6.0,2020-02-20,1492,228,754
456,6,0.04,3,3,0,0,3,45,2.0,2019-07-27,1390,228,739
457,6,0.04,1,1,0,0,1,644,6.0,2019-04-29,1349,228,717
458,6,0.04,1,1,0,0,1,881,6.0,2020-02-14,1492,228,754
459,6,0.04,1,1,0,0,1,2173,6.0,2020-01-14,1489,228,754
460,6,0.04,4,3,0,0,3,109,1.5,2019-05-10,1354,228,717
461,6,0.04,3,2,0,0,2,254,2.0,2019-03-18,1283,228,703
462,6,0.04,1,1,0,0,1,1999,6.0,2019-05-06,1350,228,717
463,5,0.04,2,2,0,0,2,13,2.5,2019-06-25,1385,228,735
464,5,0.04,2,2,0,0,2,149,2.5,2019-06-23,1385,228,735
465,5,0.04,2,1,0,0,1,339,2.5,2019-04-06,1305,228,707
466,5,0.04,2,2,0,0,2,80,2.5,2019-07-03,1386,228,736
467,5,0.04,2,1,0,0,1,261,2.5,2019-07-06,1387,228,737
468,5,0.04,4,3,0,0,3,204,1.25,2019-06-17,1385,228,730
469,5,0.04,3,2,0,0,2,580,1.67,2019-06-01,1359,228,729
470,5,0.04,1,1,0,0,1,318,5.0,2019-09-22,1482,228,753
471,5,0.04,2,2,0,0,2,218,2.5,2020-03-27,1499,228,754
472,5,0.04,2,1,0,0,1,222,2.5,2019-11-01,1485,228,754
473,5,0.04,3,3,0,0,3,43,1.67,2019-05-24,1358,228,720
474,5,0.04,3,2,0,0,2,1378,1.67,2019-07-01,1385,228,736
475,4,0.03,1,1,0,0,1,109,4.0,2019-07-03,1386,228,736
476,4,0.03,1,1,0,0,1,173,4.0,2019-09-26,1485,228,753
477,4,0.03,1,1,0,0,1,118,4.0,2019-04-12,1318,228,708
478,4,0.03,1,1,0,0,1,28,4.0,2019-05-18,1358,228,720
479,4,0.03,1,1,0,0,1,839,4.0,2019-07-10,1387,228,738
480,4,0.03,1,1,0,0,1,241,4.0,2019-10-01,1485,228,753
481,4,0.03,1,1,0,0,1,19,4.0,2019-04-11,1318,228,708
482,4,0.03,2,1,0,0,1,333,2.0,2019-06-08,1364,228,729
483,4,0.03,1,1,0,0,1,38,4.0,2019-03-04,1283,228,685
484,4,0.03,2,2,0,0,2,189,2.0,2019-03-19,1283,228,703
485,4,0.03,2,1,0,0,1,6,2.0,2019-03-23,1283,228,703
486,4,0.03,1,1,0,0,1,76,4.0,2020-04-04,1499,228,754
487,4,0.03,1,1,0,0,1,910,4.0,2019-04-07,1305,228,707
